구인업체명,모집기간,인원,성별,연령,급여 타입,급여,근무요일,근무시간형태,근무시간,업종,고용형태,데이터기준일자
바다속으로,2020-08-04 - 2020-08-07,1,여,30 - 55,일급,90000,"주말(토, 일)",기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
황장군,2020-08-04 - 2020-08-07,1,여,0 - 50,시급,8600,주1일,기타,16:30~21:30,주방보조 및 홀서빙,자투리시간,2020-08-13
착한장어(효자),2020-08-04 - 2020-08-05,1,여,연령 무관,시급,10000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
바다풍경회타운,2020-08-04 - 2020-08-08,1,여,연령 무관,일급,100000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
곳간:애,2020-08-04 - 2020-08-09,1,성별무관,연령 무관,시급,9000,월~금,기타,16:00~18:00,주방보조 및 홀서빙,자투리시간,2020-08-13
족쌈소문났네,2020-08-04 - 2020-08-06,1,여,55 - 60,시급,9000,주6일,저녁 타임,16:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
송도왕손짜장,2020-08-04 - 2020-08-09,1,여,30 - 60,시급,9000,주2일,기타,11:00~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
강변횟집,2020-08-03 - 2020-08-03,1,여,45 - 55,일급,90000,주1일,기타,11:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
포항식당,2020-08-03 - 2020-08-06,1,여,연령 무관,시급,10000,주6일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
와촌식육식당,2020-08-03 - 2020-08-03,1,여,연령 무관,일급,90000,"주말(토, 일)",기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
갈릴리대게횟집,2020-08-03 - 2020-08-04,1,여,연령 무관,일급,협의가능,주1일,기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
고구려토종한우상대점,2020-08-03 - 2020-08-04,1,여,30 - 55,일급,90000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
호호짜글이삼겹살,2020-08-03 - 2020-08-03,1,여,연령 무관,시급,9000,주1일,저녁 타임,11:00~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
미남장어,2020-08-03 - 2020-08-03,1,여,연령 무관,일급,90000,주1일,기타,10:30~22:30,주방보조 및 홀서빙,무관,2020-08-13
대복삼계탕,2020-08-03 - 2020-08-03,1,여,30 - 60,일급,120000,주1일,기타,10:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
낚시꾼의 집,2020-08-03 - 2020-08-03,1,여,연령 무관,시급,10000,주1일,저녁 타임,11:00~23:00,주방보조 및 홀서빙,자투리시간,2020-08-13
이어도회식당,2020-08-03 - 2020-08-07,1,여,연령 무관,일급,100000,주6일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
할매육숫간,2020-08-03 - 2020-08-03,1,여,50 - 60,일급,90000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
청림식육식당,2020-08-03 - 2020-08-07,1,여,연령 무관,시급,8590,주5일,기타,10:00~14:00,주방보조 및 홀서빙,자투리시간,2020-08-13
과수원,2020-08-03 - 2020-08-03,1,여,연령 무관,시급,9000,주1일,저녁 타임,18:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
